Intent	Sentence
UPDATE_ATTRIBUTE	"Sorry, but I’d like to stick to the original order. So that’s <quant>1</quant> <size>small</size> <pizza_type>Cheese</pizza_type> pizza, <quant>1</quant> <size>medium</size> <pizza_type>Cheese</pizza_type> pizza, and <quant>1</quant> <size>large</size> <pizza_type>Cheese</pizza_type> pizza."
ORDER_PREFERRED	please order my favorite pizza order
CONFIRM	yeah thats right
INFORM	Yes and you.re gonna go up the stairs and down the left hallway and we.re the first on the right
CONFIRM	 Yep 
ADD_MODALITY	<modality>Delivery</modality> pls
THANK	"Great, thank you so much. I’ll get my card, just a second!"
MAKE_PIZZA	"Hi yes, I need <quant>five</quant> assorted <size>large</size> pizzas."
REQUEST	"And that has <quant>all</quant> the toppings I want, the <pizza_type>veggie supreme</pizza_type>?"
REQUEST	Can I have my order <modality>delivered</modality>?
GREET	hello
ADD_MODALITY	hi, i'd like a <modality>pick up</modality> order
GREET	"Hi! That sounds great, but I’m actually vegetarian! haha"
THANK	thank you
START_ORDERING	Great - yes I would like to place a pizza order
MAKE_PIZZA	No um can I - can I also get, um, a <size>medium</size> <pizza_type>hawaiian</pizza_type> pizza?
REQUEST	"Okay. Um, and what size would those need to be?"
ADD_PAYMENT_ATTRIBUTE	<numeric>1234 1234 1234 1234</numeric>
ADD_MODALITY	<modality>delivery</modality> will be great
THANK	great thank you
MAKE_PIZZA	"Hi! I’d like to place an order for <quant>2</quant> <size>small</size> pizzas - one is a <crust>regular</crust> <pizza_type>vegan</pizza_type>, and the other is a <crust>deep dish</crust> <pizza_type>veggie surpreme</pizza_type>."
THANK	" Okay, thanks! "
ADD_MODALITY	<modality>delivery</modality> would be great, please
REQUEST	Do you give, um, cups and napkins, too?
ADD_MODALITY	<modality>pick up</modality> will be great, please
ADD_PAYMENT_ATTRIBUTE	Yeah, hang on . Ok, so number is <numeric>5600</numeric>. Um, expiration date <numeric>00/12</numeric>, um and the code on that is <numeric>123</numeric>
THANK	amazing thanks
ADD_PERSONAL	My number is <number>123456789</number>
GREET	hey, how's it going?
CHECK_ORDER_STATUS	can you look up the status of my order?
START_ORDERING	hello i’d like to order a pizza please
DEPART	Alright peace out brother
ADD_PAYMENT_ATTRIBUTE	My card info is <numeric>5444 expr 16/15</numeric> name Cassidy
INFORM	" Thanks, can I make that drink a <beverage>sprite</beverage>? "
THANK	 Thank you! 
CONFIRM	Absolutely
MAKE_PIZZA	Okay, I would like a <pizza_type>Hawaiian</pizza_type> pizza then instead.  On a <size>medium</size> <crust>gluten free</crust> crust.  You’ve still got <topping>pineapple</topping> don’t you?  It’s a fruit not a vegetable.
ADD_MODALITY	yes, <modality>pick up</modality> sounds good
ADD_PERSONAL	Same name and zip code is <numeric>56789</numeric>
THANK	 Okay! Thanks so much!
UNDEFINED	 ring ring 
UNDEFINED	Let me look at the menu again.
ADD_MODALITY	"Hi! Yes, I’d like to place an order for <modality>delivery</modality>"
UNDEFINED	Oh….oh my gosh.
CONFIRM	that'd be great
INFORM	Yeah, well, I, it.s not a severe <topping>milk</topping> allergy
ORDER_PREFERRED	could i place another order for my preferred pizza order
ADD_PAYMENT_ATTRIBUTE	Expiration <numeric>10/10</numeric>
INFORM	You should have said something.
ADD_MODALITY	<modality>pick up</modality> sounds good
CONFIRM	yep,
THANK	 Thanks! 
ORDER_PREFERRED	Hello this is <name>John</name> I want to get my usual pickup order for Saturdays.
THANK	awesome thanks!
ADD_MODALITY	<modality>take out</modality>
REQUEST	can you <modality>deliver</modality> it now
DEPART	Goodbye
THANK	In <time>20 minutes</time>?  Okay thank you very much.
INFORM	For me and some friends. Yes.
ORDER_PREFERRED	"may i get my most recent, please"
ADD_TO_ORDER	 Ooh the <side>marbled cookie brownie</side> sounds tasty, add that on 
REQUEST_COST_OF	okay and how much does uh money does that come out to
MAKE_PIZZA	hello, can i get a <quant>no</quant> <topping_type>dairy</topping_type> <quant>no</quant> <topping_type>meat</topping_type> <pizza_type>special</pizza_type> ?
ORDER_PREFERRED	please place an order for my most common pizza order again
ORDER_PREFERRED	can i reorder my favorite order again
MAKE_PIZZA	hi, can i get a <pizza_type>meat lovers</pizza_type> ?
REQUEST_LISTING	Do you guys also have, um <side>brownies</side>? They.re asking for <side>brownies</side>.
UNDEFINED	Okay
ORDER_PREFERRED	reorder my previous
